2025-09-27 05:34:58,008 - ✅ Normal traffic detected | Flow: {'duration': 63.090497, 'bytes_per_sec': 1780.6643685181305, 'packets_per_sec': 14.090870135323232, 'fwd_packets': 523.0, 'bwd_packets': 391.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:58,303 - ✅ Normal traffic detected | Flow: {'duration': 105.148143, 'bytes_per_sec': 1592.7813389914074, 'packets_per_sec': 14.008806603460414, 'fwd_packets': 632.0, 'bwd_packets': 841.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:58,310 - ✅ Normal traffic detected | Flow: {'duration': 105.148143, 'bytes_per_sec': 1592.7813389914074, 'packets_per_sec': 14.008806603460414, 'fwd_packets': 632.0, 'bwd_packets': 841.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:58,314 - ✅ Normal traffic detected | Flow: {'duration': 100.009844, 'bytes_per_sec': 65.31357053211681, 'packets_per_sec': 0.5599448790261087, 'fwd_packets': 34.0, 'bwd_packets': 22.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:58,850 - ✅ Normal traffic detected | Flow: {'duration': 105.147088, 'bytes_per_sec': 1778.6702756808634, 'packets_per_sec': 14.075520569813593, 'fwd_packets': 846.0, 'bwd_packets': 634.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:59,022 - ✅ Normal traffic detected | Flow: {'duration': 105.140158, 'bytes_per_sec': 1593.5871049385337, 'packets_per_sec': 14.00987051969239, 'fwd_packets': 632.0, 'bwd_packets': 841.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:59,043 - ✅ Normal traffic detected | Flow: {'duration': 90.008523, 'bytes_per_sec': 66.17151133565429, 'packets_per_sec': 0.5666130084147698, 'fwd_packets': 31.0, 'bwd_packets': 20.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:59,675 - ✅ Normal traffic detected | Flow: {'duration': 81.105586, 'bytes_per_sec': 1592.874256527781, 'packets_per_sec': 13.994103932619387, 'fwd_packets': 499.0, 'bwd_packets': 664.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:59,776 - ✅ Normal traffic detected | Flow: {'duration': 105.637981, 'bytes_per_sec': 1590.5737539607085, 'packets_per_sec': 13.972247349180217, 'fwd_packets': 633.0, 'bwd_packets': 843.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:00,054 - ✅ Normal traffic detected | Flow: {'duration': 104.640747, 'bytes_per_sec': 1778.1887585339962, 'packets_per_sec': 14.057621358532542, 'fwd_packets': 841.0, 'bwd_packets': 630.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:00,070 - ✅ Normal traffic detected | Flow: {'duration': 104.640747, 'bytes_per_sec': 1778.1887585339962, 'packets_per_sec': 14.057621358532542, 'fwd_packets': 841.0, 'bwd_packets': 630.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:00,084 - ✅ Normal traffic detected | Flow: {'duration': 100.0061, 'bytes_per_sec': 66.45594618728258, 'packets_per_sec': 0.5599658420836329, 'fwd_packets': 34.0, 'bwd_packets': 22.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:00,664 - ✅ Normal traffic detected | Flow: {'duration': 105.147749, 'bytes_per_sec': 1596.1444880764875, 'packets_per_sec': 14.018369523060356, 'fwd_packets': 843.0, 'bwd_packets': 631.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:00,847 - ✅ Normal traffic detected | Flow: {'duration': 104.65033, 'bytes_per_sec': 1779.0101569674937, 'packets_per_sec': 14.075445342599494, 'fwd_packets': 842.0, 'bwd_packets': 631.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:00,855 - ✅ Normal traffic detected | Flow: {'duration': 100.009091, 'bytes_per_sec': 65.85401321165892, 'packets_per_sec': 0.559949095027771, 'fwd_packets': 34.0, 'bwd_packets': 22.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:01,447 - ✅ Normal traffic detected | Flow: {'duration': 79.11553, 'bytes_per_sec': 1597.2338174312931, 'packets_per_sec': 14.02989813209043, 'fwd_packets': 489.0, 'bwd_packets': 649.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:01,684 - ✅ Normal traffic detected | Flow: {'duration': 105.140916, 'bytes_per_sec': 1594.1557899305346, 'packets_per_sec': 14.019280562478645, 'fwd_packets': 633.0, 'bwd_packets': 841.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:01,714 - ✅ Normal traffic detected | Flow: {'duration': 105.141321, 'bytes_per_sec': 1776.40910560749, 'packets_per_sec': 14.057270594878677, 'fwd_packets': 845.0, 'bwd_packets': 633.0} | Prediction: normal | Confidence: 1.000 | Threat: low
